text_size,pattern_size_0,time_0,pattern_size_1,time_1,pattern_size_2,time_2,pattern_size_3,time_3,pattern_size_4,time_4,pattern_size_5,time_5,pattern_size_6,time_6,pattern_size_7,time_7,pattern_size_8,time_8,pattern_size_9,time_9
8800,10,2.4565e-05,20,1.59248e-05,30,1.2875e-05,40,1.2605e-05,50,1.09137e-05,60,1.23268e-05,70,1.09271e-05,80,1.2514e-05,90,1.10333e-05,100,1.21962e-05
8900,10,2.5128e-05,20,1.63186e-05,30,1.37889e-05,40,1.24472e-05,50,1.16004e-05,60,1.16032e-05,70,1.16607e-05,80,1.19419e-05,90,1.20947e-05,100,1.20578e-05
9000,10,2.48455e-05,20,1.78772e-05,30,1.40927e-05,40,1.24089e-05,50,1.20005e-05,60,1.18084e-05,70,1.19422e-05,80,1.1565e-05,90,1.08587e-05,100,1.21229e-05
9100,10,2.53237e-05,20,1.61517e-05,30,1.3439e-05,40,1.24741e-05,50,1.2808e-05,60,1.27321e-05,70,1.2952e-05,80,1.53681e-05,90,1.2447e-05,100,1.11418e-05
9200,10,2.58153e-05,20,1.62122e-05,30,1.43907e-05,40,1.20348e-05,50,1.24675e-05,60,1.16596e-05,70,1.16922e-05,80,1.24443e-05,90,1.11702e-05,100,1.30912e-05
9300,10,2.66532e-05,20,1.66304e-05,30,1.41683e-05,40,1.25711e-05,50,1.2648e-05,60,1.25854e-05,70,1.38735e-05,80,1.25729e-05,90,1.19941e-05,100,1.28907e-05
9400,10,2.5956e-05,20,1.73428e-05,30,1.40555e-05,40,1.25999e-05,50,1.26528e-05,60,1.22761e-05,70,1.17345e-05,80,1.18149e-05,90,1.17449e-05,100,1.23504e-05
9500,10,2.77318e-05,20,1.67293e-05,30,1.44075e-05,40,1.29342e-05,50,1.23382e-05,60,1.25014e-05,70,1.26877e-05,80,1.27362e-05,90,1.22264e-05,100,1.32694e-05
9600,10,2.68385e-05,20,1.73107e-05,30,1.47723e-05,40,1.48348e-05,50,1.28795e-05,60,1.22483e-05,70,1.2921e-05,80,1.27918e-05,90,1.17815e-05,100,1.18685e-05
9700,10,2.73114e-05,20,1.78262e-05,30,1.53915e-05,40,1.37678e-05,50,1.34273e-05,60,1.24024e-05,70,1.31145e-05,80,1.23229e-05,90,1.32868e-05,100,1.25797e-05
9800,10,2.73685e-05,20,1.72678e-05,30,1.46986e-05,40,1.29951e-05,50,1.30527e-05,60,1.30552e-05,70,1.2299e-05,80,1.24529e-05,90,1.44992e-05,100,1.19538e-05
9900,10,2.74539e-05,20,1.82739e-05,30,1.4378e-05,40,1.32504e-05,50,1.33901e-05,60,1.25631e-05,70,1.36098e-05,80,1.34183e-05,90,1.37522e-05,100,1.40816e-05
10000,10,2.70417e-05,20,1.74415e-05,30,1.49357e-05,40,1.35543e-05,50,1.31991e-05,60,1.31659e-05,70,1.26474e-05,80,1.2414e-05,90,1.27382e-05,100,1.31183e-05
